School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2017,Math,8,1926,Durant Comm School District,35,50,70.0,60.1 - 70%,
2016,Reading,3,0585,Bellevue,12,16,75.0,70.1 - 80%,
2016,Math,4,1332,Colfax-Mingo,33,50,66.0,60.1 - 70%,
2016,Math,6,6759,Wapello,27,32,84.4,80.1 - 90%,
2017,Reading,7,3691,North Cedar Comm School District,32,46,69.6,60.1 - 70%,
2016,Reading,7,1863,Dubuque,580,786,73.8,70.1 - 80%,
2016,Reading,4,2097,English Valleys,22,30,73.3,70.1 - 80%,
2016,Math,4,6100,South Winneshiek,22,27,81.5,80.1 - 90%,
2017,Reading,11,0072,Albert City-Truesdale Comm School District,0,0,0.0,Not Reportable,
2017,Reading,3,4104,Marshalltown Comm School District,215,364,59.1,50.1 - 60%,
2016,Math,5,6102,Spencer,112,139,80.6,80.1 - 90%,
2016,Math,4,6975,West Liberty,51,82,62.2,60.1 - 70%,
2016,Reading,3,1953,Earlham,12,16,75.0,70.1 - 80%,
2016,Reading,8,1965,Easton Valley,23,32,71.9,70.1 - 80%,
2016,Reading,7,6165,Stanton,15,21,71.4,70.1 - 80%,
2016,Reading,8,4572,Murray,15,16,93.8,90.1 - 100%,
2016,Reading,6,6175,Starmont,32,48,66.7,60.1 - 70%,
2016,Math,3,0472,Ballard,15,16,93.8,90.1 - 100%,
2016,Reading,11,4437,Montezuma,37,48,77.1,70.1 - 80%,
2016,Reading,5,1908,Dunkerton,25,27,92.6,90.1 - 100%,
2017,Math,7,0135,Allamakee Comm School District,62,72,86.1,80.1 - 90%,
2017,Reading,11,6098,South Tama County,73,104,70.2,70.1 - 80%,
2016,Reading,11,6039,Sioux City,642,855,75.1,70.1 - 80%,
2016,Reading,11,4775,Northeast Hamilton,0,0,0.0,Not Reportable,
2016,Reading,5,3154,Iowa Valley,29,34,85.3,80.1 - 90%,
2017,Reading,11,1218,Clay Central-Everly Comm School District,14,21,66.7,60.1 - 70%,
2017,Math,7,5184,Perry Comm School District,86,116,74.1,70.1 - 80%,
2017,Reading,8,2846,Harris-Lake Park Comm School District,26,34,76.5,70.1 - 80%,
2017,Reading,5,1413,Coon Rapids-Bayard Comm School District,12,19,63.2,60.1 - 70%,
2017,Reading,4,6093,Solon Comm School District,77,90,85.6,80.1 - 90%,
2016,Reading,6,5895,Seymour,15,16,93.8,90.1 - 100%,
2017,Math,8,6098,South Tama County,65,105,61.9,60.1 - 70%,
2017,Reading,3,5724,Ruthven-Ayrshire Comm School District,11,12,91.7,90.1 - 100%,
2017,Reading,4,0594,Belmond-Klemme Comm School District,27,45,60.0,50.1 - 60%,
2016,Math,4,1278,Clinton,222,256,86.7,80.1 - 90%,
2016,Reading,3,6012,Sigourney,12,16,75.0,70.1 - 80%,
2016,Reading,4,0009,AGWSR,31,38,81.6,80.1 - 90%,
2016,Math,3,1093,Central Decatur,15,16,93.8,90.1 - 100%,
2016,Reading,6,6921,West Bend-Mallard,16,19,84.2,80.1 - 90%,
2016,Math,7,5139,Paton-Churdan,12,13,92.3,90.1 - 100%,
2017,Reading,4,6660,Vinton-Shellsburg Comm School District,78,89,87.6,80.1 - 90%,
2017,Reading,7,3897,LuVerne Comm School District,0,0,0.0,Not Reportable,
2017,Math,6,4446,Monticello Comm School District,67,94,71.3,70.1 - 80%,
2017,Math,3,6840,Waverly-Shell Rock Comm School District,131,144,91.0,90.1 - 100%,
2017,Reading,3,6012,Sigourney Comm School District,24,28,85.7,80.1 - 90%,
2016,Math,7,5994,Sibley-Ocheyedan,56,66,84.8,80.1 - 90%,
2016,Reading,11,6471,Tripoli,23,28,82.1,80.1 - 90%,
2016,Math,8,6030,Sioux Center,66,81,81.5,80.1 - 90%,
2016,Reading,11,1116,Charles City,97,115,84.3,80.1 - 90%,
2017,Math,7,3154,Iowa Valley Comm School District,37,41,90.2,90.1 - 100%,
2017,Math,6,6957,West Des Moines Comm School District,499,592,84.3,80.1 - 90%,
2017,Math,4,1053,Cedar Rapids Comm School District,763,1085,70.3,70.1 - 80%,
2017,Math,4,0999,Carroll Comm School District,110,125,88.0,80.1 - 90%,
2017,Math,5,6957,West Des Moines Comm School District,493,596,82.7,80.1 - 90%,
2017,Reading,7,1107,Chariton Comm School District,57,88,64.8,60.1 - 70%,
2017,Reading,5,6795,Waterloo Comm School District,453,730,62.1,60.1 - 70%,
